190   -0.942189   [8.17853, -37.8894, -0.0632888]
191   -0.943016   [8.16106, -37.9416, 0.00182971]
192   -0.941291   [8.24357, -37.9429, -0.0160744]
193   -0.941395   [8.23138, -37.9817, 0.0569533]
194   -0.9413   [8.26847, -37.9242, 0.0103246]
195   -0.941277   [8.20024, -37.968, -0.00144419]
196   -0.941177   [8.19084, -38.0494, 0.000654062]
197   -0.942272   [8.25304, -38.1024, -0.00554494]
198   -0.938449   [8.32098, -38.1279, -0.0435812]
199   -0.940833   [8.33424, -38.2087, -0.0467236]
200   -0.942704   [8.32058, -38.2719, -0.0969503]
201   -0.944355   [8.31719, -38.1973, -0.0652858]
202   -0.94333   [8.31663, -38.2224, -0.141565]
203   -0.944908   [8.26201, -38.2281, -0.084078]
204   -0.943023   [8.33734, -38.2449, -0.099407]
205   -0.944252   [8.2656, -38.2735, -0.0889615]
206   -0.944092   [8.33451, -38.2414, -0.102069]
207   -0.944247   [8.39684, -38.199, -0.0857695]
208   -0.944086   [8.33449, -38.2416, -0.0744088]
209   -0.943816   [8.26437, -38.2715, -0.0698037]
210   -0.943542   [8.33366, -38.2426, -0.0608359]
211   -0.943351   [8.26569, -38.2715, -0.0729458]
212   -0.943694   [8.33445, -38.2465, -0.0846576]
213   -0.94414   [8.27951, -38.2853, -0.0553727]
214   -0.943183   [8.24358, -38.2398, -0.0103458]
215   -0.941943   [8.26422, -38.2142, -0.075091]
216   -0.943261   [8.31637, -38.232, -0.0288833]
217   -0.941803   [8.29471, -38.1738, -0.0636522]
218   -0.942255   [8.2833, -38.2258, -0.109742]
219   -0.944349   [8.30309, -38.2749, -0.063258]
220   -0.943454   [8.33389, -38.2275, -0.0212629]
221   -0.94158   [8.34616, -38.292, 0.00231423]
222   -0.943655   [8.36318, -38.3496, 0.0377965]
223   -0.945891   [8.36181, -38.4193, 0.0359642]
224   -0.946868   [8.36629, -38.3657, 0.0792641]
225   -0.945267   [8.36777, -38.4277, 0.0505115]
226   -0.946787   [8.3214, -38.3786, 0.055185]
227   -0.945891   [8.30741, -38.4215, 0.00564437]
228   -0.944198   [8.35604, -38.4271, -0.0401213]
229   -0.944254   [8.38086, -38.4096, 0.0188521]
230   -0.946478   [8.32813, -38.4409, 0.0424069]
231   -0.946308   [8.35725, -38.3829, 0.0468769]
232   -0.946432   [8.39887, -38.4271, 0.0255556]
233   -0.944925   [8.42592, -38.3901, -0.0196083]
234   -0.944177   [8.36989, -38.3602, -0.0141863]
235   -0.944813   [8.34993, -38.3327, 0.0397383]
236   -0.94448   [8.31911, -38.3857, 0.0246972]
237   -0.945942   [8.33578, -38.3477, 0.0714011]
238   -0.944446   [8.34227, -38.3481, 0.00990865]
239   -0.945211   [8.29763, -38.3064, 0.014182]
240   -0.942983   [8.28275, -38.2472, 0.0184278]
241   -0.943369   [8.30018, -38.3019, -0.000858061]
242   -0.943103   [8.27131, -38.2513, -0.0152467]
243   -0.94334   [8.31867, -38.2166, -0.00305531]
244   -0.941998   [8.2914, -38.1998, 0.0469899]
245   -0.943429   [8.28761, -38.1406, 0.0456718]
246   -0.942857   [8.3439, -38.1566, 0.0513739]
247   -0.942388   [8.34458, -38.1542, 0.110123]
248   -0.942217   [8.36364, -38.2095, 0.11634]
249   -0.942815   [8.41341, -38.2184, 0.146354]
250   -0.943737   [8.4269, -38.2687, 0.173783]
251   -0.944682   [8.4522, -38.238, 0.216329]
252   -0.945625   [8.50605, -38.2228, 0.232397]
253   -0.949311   [8.54201, -38.2597, 0.205257]
254   -0.948249   [8.58721, -38.2232, 0.201187]
255   -0.946878   [8.59147, -38.2069, 0.145455]
256   -0.947767   [8.53934, -38.23, 0.136841]
257   -0.949028   [8.54382, -38.2419, 0.0806305]
258   -0.94818   [8.59249, -38.2392, 0.11029]
259   -0.947128   [8.63951, -38.21, 0.124076]
260   -0.945384   [8.65054, -38.1685, 0.161668]
261   -0.944869   [8.6074, -38.1987, 0.182032]
262   -0.946315   [8.55761, -38.2202, 0.166194]
263   -0.948857   [8.56974, -38.1992, 0.115793]
264   -0.948144   [8.55559, -38.241, 0.0814294]
265   -0.947867   [8.52305, -38.2107, 0.11441]
266   -0.949242   [8.5252, -38.2352, 0.0653992]
267   -0.947128   [8.57581, -38.2156, 0.0661925]
268   -0.947121   [8.57476, -38.2412, 0.0189822]
269   -0.946686   [8.5604, -38.2042, 0.0543517]
270   -0.947106   [8.5443, -38.1934, 0.103882]
271   -0.947597   [8.53804, -38.2457, 0.10383]
272   -0.9486   [8.57329, -38.2248, 0.136013]
273   -0.94773   [8.53385, -38.2026, 0.111162]
274   -0.948745   [8.50366, -38.237, 0.13384]
275   -0.948528   [8.55386, -38.2346, 0.128238]
276   -0.948835   [8.51365, -38.2374, 0.0985405]
277   -0.947494   [8.53092, -38.1985, 0.123935]
278   -0.948011   [8.54643, -38.2274, 0.0874221]
279   -0.948376   [8.5926, -38.2113, 0.0831659]
280   -0.946935   [8.61048, -38.1712, 0.105087]
281   -0.94582   [8.57439, -38.1854, 0.0758297]
282   -0.946398   [8.5986, -38.2005, 0.0364949]
283   -0.945893   [8.59568, -38.2286, 0.0753967]
284   -0.946606   [8.55418, -38.2283, 0.099715]
285   -0.948561   [8.52994, -38.1887, 0.0872189]
286   -0.947328   [8.50125, -38.2174, 0.112175]
287   -0.948196   [8.54748, -38.2256, 0.107922]
288   -0.94894   [8.52109, -38.1875, 0.113824]
289   -0.947648   [8.5117, -38.2226, 0.0853094]
290   -0.947157   [8.50424, -38.1887, 0.115105]
291   -0.947781   [8.50801, -38.2316, 0.100943]
292   -0.948036   [8.5137, -38.1945, 0.125451]
293   -0.947957   [8.5224, -38.2104, 0.0849569]
294   -0.947731   [8.5551, -38.2145, 0.114007]
295   -0.948967   [8.5281, -38.2335, 0.0856559]
296   -0.947726   [8.55401, -38.2152, 0.114817]
297   -0.949031   [8.52436, -38.2302, 0.0880973]
298   -0.94782   [8.55006, -38.2148, 0.11781]
299   -0.94912   [8.54422, -38.237, 0.0829123]
300   -0.948214   [8.57822, -38.2417, 0.106005]
301   -0.947826   [8.53739, -38.2386, 0.105316]
302   -0.948646   [8.57411, -38.2265, 0.11751]
303   -0.948769   [8.55732, -38.2132, 0.0835544]
304   -0.948475   [8.54042, -38.2487, 0.0752778]
305   -0.947685   [8.56926, -38.2302, 0.0953975]
306   -0.948189   [8.55021, -38.2, 0.112932]
307   -0.94837   [8.548, -38.2319, 0.0899403]
308   -0.948339   [8.53428, -38.1954, 0.0896888]
309   -0.947566   [8.50602, -38.2216, 0.0878869]
310   -0.947406   [8.52387, -38.193, 0.105709]
311   -0.948093   [8.54231, -38.2258, 0.102657]
312   -0.948754   [8.54073, -38.189, 0.109427]
313   -0.94747   [8.52659, -38.2232, 0.111575]
314   -0.949007   [8.51454, -38.1954, 0.0909198]
315   -0.947265   [8.54749, -38.2011, 0.105023]
316   -0.948328   [8.56509, -38.2328, 0.107377]
317   -0.948784   [8.58103, -38.2029, 0.119411]
318   -0.947813   [8.55776, -38.2271, 0.107692]
319   -0.948806   [8.57651, -38.1979, 0.101775]
320   -0.947478   [8.5496, -38.2134, 0.117621]
321   -0.949067   [8.54872, -38.232, 0.0885602]
322   -0.948316   [8.53301, -38.2018, 0.0911118]
323   -0.947884   [8.50563, -38.2117, 0.0731948]
324   -0.946756   [8.52008, -38.1909, 0.0956499]
325   -0.947642   [8.54994, -38.1973, 0.110195]
326   -0.948142   [8.54807, -38.2278, 0.0965013]
327   -0.948531   [8.56408, -38.1994, 0.0904507]
328   -0.947519   [8.55251, -38.2218, 0.0694163]
329   -0.948039   [8.54799, -38.1972, 0.0902029]
330   -0.947626   [8.56016, -38.2149, 0.0662024]
331   -0.947773   [8.53394, -38.1968, 0.0663958]
332   -0.947227   [8.56394, -38.2019, 0.0746361]
333   -0.948059   [8.53848, -38.2014, 0.056571]
334   -0.947016   [8.56589, -38.2135, 0.0642881]
335   -0.947412   [8.54892, -38.1889, 0.0575178]
336   -0.94736   [8.55513, -38.2161, 0.0693826]
337   -0.948193   [8.5343, -38.198, 0.0811567]
338   -0.947429   [8.52809, -38.2265, 0.0757274]
339   -0.947606   [8.55732, -38.2236, 0.074813]
340   -0.948208   [8.53429, -38.2129, 0.0890061]
341   -0.948189   [8.52107, -38.237, 0.0804842]
342   -0.94703   [8.54799, -38.2431, 0.0877068]
343   -0.948208   [8.53142, -38.2233, 0.09922]
344   -0.948889   [8.52836, -38.2196, 0.12704]
345   -0.948972   [8.53887, -38.2401, 0.111262]
346   -0.948945   [8.56633, -38.2355, 0.108779]
347   -0.948759   [8.57005, -38.2091, 0.117203]
348   -0.9488   [8.55997, -38.2231, 0.0955624]
349   -0.948628   [8.57366, -38.2004, 0.0887043]
350   -0.947356   [8.55457, -38.2194, 0.0919024]
351   -0.948645   [8.5663, -38.2142, 0.0683217]
352   -0.94744   [8.55263, -38.1914, 0.0684238]
353   -0.947784   [8.55539, -38.2158, 0.0591052]
354   -0.947538   [8.54353, -38.2034, 0.0786971]
355   -0.947861   [8.55556, -38.22, 0.0630427]
356   -0.947671   [8.53618, -38.2081, 0.0745969]
357   -0.947852   [8.55944, -38.2088, 0.0844544]
358   -0.948237   [8.55119, -38.2267, 0.0690671]
359   -0.947801   [8.55287, -38.2055, 0.08176]
360   -0.948174   [8.55834, -38.2136, 0.0592434]
361   -0.947554   [8.55204, -38.1998, 0.078194]
362   -0.948094   [8.56344, -38.209, 0.059132]
363   -0.947513   [8.55366, -38.197, 0.0772318]
364   -0.948037   [8.56309, -38.2092, 0.0594385]
365   -0.947545   [8.55187, -38.1971, 0.0759288]
366   -0.948034   [8.56423, -38.2087, 0.0602073]
367   -0.947577   [8.55118, -38.1944, 0.0724564]
368   -0.947924   [8.56415, -38.2086, 0.0604813]
369   -0.9476   [8.55033, -38.1947, 0.071287]
370   -0.94793   [8.5641, -38.208, 0.0601687]
371   -0.947595   [8.55095, -38.1963, 0.0733051]
372   -0.948042   [8.56397, -38.2087, 0.0609864]
373   -0.947639   [8.54933, -38.1951, 0.0691173]
374   -0.947964   [8.56351, -38.2073, 0.0589341]
375   -0.947527   [8.55473, -38.2003, 0.0767634]
376   -0.948343   [8.55973, -38.208, 0.0580195]
377   -0.947558   [8.5526, -38.2017, 0.0763624]
378   -0.948369   [8.56185, -38.2081, 0.0592732]
379   -0.947611   [8.55176, -38.2006, 0.0751772]
380   -0.94834   [8.56286, -38.2089, 0.0606699]
381   -0.947663   [8.54969, -38.1979, 0.0706494]
382   -0.948178   [8.56365, -38.2083, 0.0615687]
383   -0.9477   [8.5491, -38.1968, 0.0673801]
384   -0.948107   [8.56376, -38.2071, 0.0602079]
385   -0.947632   [8.55124, -38.2, 0.0727587]
386   -0.948388   [8.56351, -38.209, 0.0615938]
387   -0.947686   [8.54997, -38.1971, 0.0664589]
388   -0.948187   [8.56365, -38.2085, 0.061415]
389   -0.947686   [8.55025, -38.1975, 0.0673087]
390   -0.948235   [8.56334, -38.2086, 0.0614324]
391   -0.947701   [8.55012, -38.198, 0.0674535]
392   -0.948265   [8.56354, -38.2082, 0.0617485]
393   -0.947722   [8.55002, -38.198, 0.0666969]
394   -0.948257   [8.56364, -38.208, 0.062219]
395   -0.94775   [8.5499, -38.1981, 0.0656893]
396   -0.948237   [8.56377, -38.2077, 0.063142]
397   -0.947794   [8.55004, -38.1979, 0.0643528]
398   -0.948193   [8.56331, -38.2081, 0.0650856]
399   -0.947878   [8.55046, -38.1978, 0.0631903]
Optimizer stop condition: RegularStepGradientDescentOptimizer: Maximum number of iterations (400) exceeded.
Result = 
 Translation X = 8.55046
 Translation Y = -38.1978
 Translation Z = 0.0631903
